Net generation from solar for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.SUN.H
17:17:50 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.SUN.H megawatthours
03/9/2022 17H,33798
03/9/2022 16H,29972
03/9/2022 15H,17782
03/9/2022 14H,4095
03/9/2022 13H,793
03/9/2022 12H,52
03/9/2022 11H,31
03/9/2022 10H,26
03/9/2022 09H,23
03/9/2022 08H,22
03/9/2022 07H,30
03/9/2022 06H,78
03/9/2022 05H,167
03/9/2022 04H,164
03/9/2022 03H,205
03/9/2022 02H,455
03/9/2022 01H,7331
03/9/2022 00H,20612
03/8/2022 23H,28458
03/8/2022 22H,32562
03/8/2022 21H,36812
03/8/2022 20H,39061
03/8/2022 19H,40634
03/8/2022 18H,41340
03/8/2022 17H,38798
03/8/2022 16H,33118
03/8/2022 15H,18975
03/8/2022 14H,6650
03/8/2022 13H,2295
03/8/2022 12H,363
03/8/2022 11H,18
03/8/2022 10H,25
03/8/2022 09H,26
03/8/2022 08H,19
03/8/2022 07H,11
03/8/2022 06H,13
03/8/2022 05H,127
03/8/2022 04H,163
03/8/2022 03H,190
03/8/2022 02H,566
03/8/2022 01H,7461
03/8/2022 00H,18445
03/7/2022 23H,25628
03/7/2022 22H,30147
03/7/2022 21H,32911
03/7/2022 20H,35177
03/7/2022 19H,36381
03/7/2022 18H,38153
03/7/2022 17H,35961
03/7/2022 16H,29593
03/7/2022 15H,19070
03/7/2022 14H,8104
03/7/2022 13H,2676
03/7/2022 12H,369
03/7/2022 11H,17
03/7/2022 10H,11
03/7/2022 09H,14
03/7/2022 08H,2
03/7/2022 07H,8
03/7/2022 06H,33
03/7/2022 05H,105
03/7/2022 04H,149
03/7/2022 03H,145
03/7/2022 02H,400
03/7/2022 01H,6177
03/7/2022 00H,14578
03/6/2022 23H,20449
03/6/2022 22H,28110
03/6/2022 21H,32892
03/6/2022 20H,35239
03/6/2022 19H,36127
03/6/2022 18H,35956
03/6/2022 17H,35126
03/6/2022 16H,28932
03/6/2022 15H,18331
03/6/2022 14H,8255
03/6/2022 13H,2575
03/6/2022 12H,235
03/6/2022 11H,10
03/6/2022 10H,13
03/6/2022 09H,12
03/6/2022 08H,14
03/6/2022 07H,40
03/6/2022 06H,97
03/6/2022 05H,148
03/6/2022 04H,123
03/6/2022 03H,31
03/6/2022 02H,1924
03/6/2022 01H,4949
03/6/2022 00H,13773
03/5/2022 23H,18284
03/5/2022 22H,24287
03/5/2022 21H,28337
03/5/2022 20H,29629
03/5/2022 19H,30849
03/5/2022 18H,31121
03/5/2022 17H,32568
03/5/2022 16H,28766
03/5/2022 15H,17745
03/5/2022 14H,7342
03/5/2022 13H,2437
03/5/2022 12H,392
03/5/2022 11H,112
03/5/2022 10H,101
03/5/2022 09H,98
03/5/2022 08H,87
03/5/2022 07H,81
03/5/2022 06H,130
03/5/2022 05H,157
03/5/2022 04H,173
03/5/2022 03H,162
03/5/2022 02H,1933
03/5/2022 01H,3995
03/5/2022 00H,11079
03/4/2022 23H,17345
03/4/2022 22H,24320
03/4/2022 21H,29410
03/4/2022 20H,31550
03/4/2022 19H,30711
03/4/2022 18H,29602
03/4/2022 17H,29226
03/4/2022 16H,26615
03/4/2022 15H,20063
03/4/2022 14H,11668
03/4/2022 13H,4106
03/4/2022 12H,633
03/4/2022 11H,90
03/4/2022 10H,108
03/4/2022 09H,131
03/4/2022 08H,110
03/4/2022 07H,109
03/4/2022 06H,173
03/4/2022 05H,195
03/4/2022 04H,258
03/4/2022 03H,316
03/4/2022 02H,297
03/4/2022 01H,3176
03/4/2022 00H,12381
