Net generation from other for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.OTH.H
17:14:21 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.OTH.H megawatthours
03/7/2022 00H,6334
03/6/2022 23H,6822
03/6/2022 22H,5726
03/6/2022 21H,6543
03/6/2022 20H,5684
03/6/2022 19H,5798
03/6/2022 18H,5700
03/6/2022 17H,5947
03/6/2022 16H,6015
03/6/2022 15H,6343
03/6/2022 14H,6188
03/6/2022 13H,6465
03/6/2022 12H,5722
03/6/2022 11H,5629
03/6/2022 10H,5605
03/6/2022 09H,6505
03/6/2022 08H,6442
03/6/2022 07H,6021
03/6/2022 06H,6151
03/6/2022 05H,6615
03/6/2022 04H,6985
03/6/2022 03H,7138
03/6/2022 02H,7002
03/6/2022 01H,6479
03/6/2022 00H,6197
03/5/2022 23H,6141
03/5/2022 22H,5920
03/5/2022 21H,5977
03/5/2022 20H,5822
03/5/2022 19H,5945
03/5/2022 18H,6156
03/5/2022 17H,6194
03/5/2022 16H,6461
03/5/2022 15H,6755
03/5/2022 14H,6711
03/5/2022 13H,6602
03/5/2022 12H,6320
03/5/2022 11H,6219
03/5/2022 10H,6265
03/5/2022 09H,6061
03/5/2022 08H,6206
